band,bandLabel,member,memberLabel
Q32542,The Magnetic Fields,Q2395308,Stephin Merritt
Q32542,The Magnetic Fields,Q16887100,John Woo
Q32542,The Magnetic Fields,Q7407402,Sam Davol
Q30509,Bratmobile,Q4732851,Allison Wolfe
Q132005,Strong Arm Steady,Q1665613,Mitchy Slick
Q130563,Nevermore,Q1088707,Warrel Dane
Q129050,The Shangri-Las,Q6780940,Mary Weiss
Q128443,The Smithereens,Q7143378,Pat DiNizio
Q128012,Zappa Plays Zappa,Q127548,Dweezil Zappa
Q169516,The Kelly Family,Q43304067,Caroline Kelly
Q154543,D12,Q5608,Eminem
Q29779,3T,Q24356,Taryll Jackson
Q29779,3T,Q2384433,TJ Jackson
Q29779,3T,Q2388999,Taj Jackson
Q144284,Absu,Q2113212,Proscriptor
Q147129,Zao,Q20687568,Daniel Weydant
Q150021,The Desert Sessions,Q1708504,Josh Homme
Q145515,The Mountain Goats,Q6228586,John Darnielle
Q166315,Sanctuary,Q1088707,Warrel Dane
Q167408,The Statler Brothers,Q6535964,Lew DeWitt
Q168290,Unsane,Q3376400,Pete Shore
Q169516,The Kelly Family,Q1529538,John Kelly
Q169472,Zebrahead,Q2542713,Ali Tabatabaee
Q169516,The Kelly Family,Q521668,Angelo Kelly
Q153056,Destiny's Child,Q36153,Beyoncé
Q169516,The Kelly Family,Q1689383,Jimmy Kelly
Q169516,The Kelly Family,Q1544206,Patricia Kelly
Q169516,The Kelly Family,Q1736556,Kathy Ann Kelly
Q169516,The Kelly Family,Q14913044,Paul Kelly
Q169516,The Kelly Family,Q1885940,Maite Kelly
Q169516,The Kelly Family,Q2045848,Michael Patrick Kelly
Q169516,The Kelly Family,Q1548144,Joey Kelly
Q45165,System of a Down,Q486063,Serj Tankian
Q45165,System of a Down,Q379400,Shavo Odadjian
Q153056,Destiny's Child,Q184249,Kelly Rowland
Q52463,Wu-Tang Clan,Q313138,Redman
Q52463,Wu-Tang Clan,Q323463,Ghostface Killah
Q52463,Wu-Tang Clan,Q320167,Raekwon
Q58391,The Shins,Q1394654,James Mercer
Q55809,La Coka Nostra,Q382250,DJ Lethal
Q59965,The Kingston Trio,Q4933937,Bob Shane
Q166006,The Lemonheads,Q2704219,Evan Dando
Q165846,Operation Ivy,Q1154178,Jesse Michaels
Q32591,Crooked Still,Q7380760,Rushad Eggleston
Q123320,The Avett Brothers,Q7435922,Scott Avett
Q123320,The Avett Brothers,Q7456436,Seth Avett
Q116411,Steel Magnolia,Q21872577,Meghan Linsey
Q775690,Guster,Q6211809,Joe Pisapia
Q775830,The Fat Boys,Q3535717,Darren Robinson
Q775719,Skrew,Q4679159,Adam Grossman
Q775506,Dance Hall Crashers,Q4756585,Andrew Champion
Q776932,The Flock,Q1687826,Jerry Goodman
Q175075,13 & God,Q3037323,Doseone
Q175097,3 Doors Down,Q896746,Brad Arnold
Q170487,112,Q20736541,Quinnes Parker
Q134541,The Black Eyed Peas,Q180004,Fergie
Q134541,The Black Eyed Peas,Q145480,Taboo
Q44637,Hollywood Undead,Q452569,Deuce
Q44637,Hollywood Undead,Q4308049,Daniel Rose Murillo
Q44637,Hollywood Undead,Q4456157,Jordon Kristopher Terrell
Q44637,Hollywood Undead,Q7577901,Dylara Peter Alvarez
Q44637,Hollywood Undead,Q4416344,Matthew Busek
Q44637,Hollywood Undead,Q22344500,J-Dog
Q44637,Hollywood Undead,Q4049355,Shady Jeff
Q44637,Hollywood Undead,Q4402202,"George ""Johnny 3 Tears"" Ragan"
Q45359,James Chance and the Contortions,Q2540459,James Chance
Q169516,The Kelly Family,Q43304106,Dan Kelly
Q134541,The Black Eyed Peas,Q185610,will.i.am
Q134541,The Black Eyed Peas,Q270364,Kim Hill
Q175514,King's X,Q6183627,Jerry Gaskill
Q175514,King's X,Q4121042,Doug Pinnick
Q176036,Genitorturers,Q728728,Eric Griffin
Q175514,King's X,Q4572438,Ty Tabor
Q176036,Genitorturers,Q63224869,Gen-XX
Q43259,No Doubt,Q1351671,Eric Stefani
Q42023,Jungle Brothers,Q7450956,Sensational
Q43267,The Jackson 5,Q2831,Michael Jackson
Q153056,Destiny's Child,Q456592,LaTavia Roberson
Q153056,Destiny's Child,Q229153,Michelle Williams
Q153056,Destiny's Child,Q257302,LeToya Luckett
Q153056,Destiny's Child,Q292623,Farrah Franklin
Q547666,Animals as Leaders,Q2019960,Tosin Abasi
Q158462,Lynyrd Skynyrd,Q971422,Ed King
Q158462,Lynyrd Skynyrd,Q1364031,Michael Cartellone
Q158462,Lynyrd Skynyrd,Q1806077,Larry Junstrom
Q43267,The Jackson 5,Q44855,Jackie Jackson
Q569808,Cacophony,Q297462,Marty Friedman
Q564968,Tally Hall,Q20810597,Rob Cantor
Q567908,Venomous Concept,Q711367,Buzz Osborne
Q568617,Grizzly Bear,Q5208270,Ed Droste
Q570025,Screeching Weasel,Q3809382,John Pierson
Q157041,The Offspring,Q317095,Dexter Holland
Q45165,System of a Down,Q1751354,Ontronik Khachaturian
Q550602,Poison,Q365042,Bret Michaels
Q80304,Korn,Q345190,David Silveria
Q158462,Lynyrd Skynyrd,Q348571,Ronnie Van Zant
Q45165,System of a Down,Q491772,John Dolmayan
Q45165,System of a Down,Q486786,Daron Malakian
Q555623,Edward Sharpe and the Magnetic Zeros,Q2832939,Alex Ebert
Q158462,Lynyrd Skynyrd,Q3292884,Artimus Pyle
Q158462,Lynyrd Skynyrd,Q2250746,Ean Evans
Q158462,Lynyrd Skynyrd,Q2451563,Rickey Medlocke
Q158462,Lynyrd Skynyrd,Q3112865,Mark Matejka
Q43267,The Jackson 5,Q317784,Jermaine Jackson
Q43267,The Jackson 5,Q319392,Marlon Jackson
Q587184,Kix,Q4953892,Brad Divens
Q587184,Kix,Q389722,Anton Fig
Q587184,Kix,Q6848836,Mike Slamer
Q587184,Kix,Q20687581,Steve Whiteman
Q586990,Soul Embraced,Q362056,Rocky Gray
Q45752,LCD Soundsystem,Q3101632,James Murphy
Q45752,LCD Soundsystem,Q6963083,Nancy Whang
Q46644,Gogol Bordello,Q535444,Eugene Hütz
Q81509,Minor Threat,Q911812,Brian Baker
Q158462,Lynyrd Skynyrd,Q939194,Steve Gaines
Q158462,Lynyrd Skynyrd,Q954598,Johnny Colt
Q158462,Lynyrd Skynyrd,Q721521,Hughie Thomasson
Q158462,Lynyrd Skynyrd,Q514034,Billy Powell
Q158462,Lynyrd Skynyrd,Q516342,Johnny Van Zant
Q158462,Lynyrd Skynyrd,Q534930,Kenny Aronoff
Q568759,Public Announcement,Q273055,R. Kelly
Q81509,Minor Threat,Q3807789,Jeff Nelson
Q158462,Lynyrd Skynyrd,Q3312145,Bob Burns
Q158462,Lynyrd Skynyrd,Q3376847,Robert Kearns
Q158462,Lynyrd Skynyrd,Q3358304,Owen Hale
Q158462,Lynyrd Skynyrd,Q3358292,Peter Keys
Q83626,The Fuzztones,Q7376958,Rudi Protrudi
Q102385,The Pussycat Dolls,Q168486,Lauren Bennett
Q94620,Information Society,Q7153252,Paul Robb
Q82179,Punch Brothers,Q596779,Chris Thile
Q575400,Sugar Ray,Q575444,Mark McGrath
Q575400,Sugar Ray,Q382250,DJ Lethal
Q575789,Odd Future,Q167635,"Tyler, the Creator"
Q578376,Clutch,Q5724808,Neil Fallon
Q575789,Odd Future,Q6349383,Left Brain
Q575835,Semi Precious Weapons,Q3811600,Justin Tranter
Q157497,Bloodhound Gang,Q572608,Jimmy Pop
Q136591,ZZ Top,Q716243,Frank Beard
Q158462,Lynyrd Skynyrd,Q714745,Greg T. Walker
Q136591,ZZ Top,Q553413,Dusty Hill
Q158462,Lynyrd Skynyrd,Q668141,Cassie Gaines
Q169516,The Kelly Family,Q43304118,Barbara-Ann Kelly
Q378491,Player,Q2366687,Peter Beckett
Q378958,The Black Crowes,Q1077723,Chris Robinson
Q376035,American Hi-Fi,Q7596036,Stacy Jones
Q572821,Big Black,Q435060,Steve Albini
Q572821,Big Black,Q1626572,Santiago Durango
Q375128,Gumball,Q5292615,Don Fleming
Q375364,No Use for a Name,Q269624,Chris Shiflett
Q375364,No Use for a Name,Q1676573,Tony Sly
Q375364,No Use for a Name,Q3675559,Chris Rest
Q374679,Lambchop,Q5342183,Nightcrawler
Q785051,Naughty by Nature,Q542910,Treach
Q782889,Aventura,Q2570042,Romeo Santos
Q783088,Inside Out (banda),Q139933,Zack de la Rocha
Q783571,Austrian Death Machine,Q2609795,Tim Lambesis
Q572821,Big Black,Q3017243,Dave Riley
Q572821,Big Black,Q1626593,Jeff Pezzati
Q572821,Big Black,Q65482830,Roland
Q388216,Deee-Lite,Q1193049,Towa Tei
Q386406,Pretty Ricky,Q1324871,Pleasure P
Q385841,The McCoys,Q2142941,Rick Derringer
Q386689,Sweet Inspirations,Q465702,Cissy Houstom
Q387820,Romeo Void,Q5248143,Debora Iyall
Q377387,Gravediggaz,Q52447,RZA
Q378024,Paths of Possession,Q181274,George Fisher
Q375382,Taylor Hawkins and the Coattail Riders,Q312395,Taylor Hawkins
Q108674,Steel Train,Q151304,Jack Antonoff
Q109871,Anthrax,Q459071,Joey Belladonna
Q385618,Melvins,Q711367,Buzz Osborne
Q384762,Soulsonic Force,Q316872,Afrika Bambaataa
Q81509,Minor Threat,Q3973342,Steve Hansgen
Q81509,Minor Threat,Q3841005,Lyle Preslar
Q548450,Tripping Daisy,Q6146957,Tim DeLaughter
Q786668,Lizzy Borden,Q793574,Lizzy Borden
Q822802,Mr. Big,Q463715,Billy Sheehan
Q822802,Mr. Big,Q315092,Paul Gilbert
Q822802,Mr. Big,Q528011,Richie Kotzen
Q592398,The Young Veins,Q841247,Ryan Ross
Q587687,Hayseed Dixie,Q6263724,John Wheeler
Q587705,The Sea and Cake,Q7408034,Sam Prekop
Q591691,Sublime,Q2631800,Bradley Nowell
Q159351,Run-D.M.C.,Q462735,Jam Master Jay
Q159351,Run-D.M.C.,Q742642,Joseph Simmons
Q159351,Run-D.M.C.,Q1255350,Darryl McDaniels
Q587184,Kix,Q58213259,Brian Forsythe
Q818377,Gym Class Heroes,Q3852016,Matt McGinley
Q587184,Kix,Q58213532,Donnie Purnell
Q587184,Kix,Q58213472,Jimmy Chalfant
Q587184,Kix,Q58213497,Ronnie Younkins
Q176430,The Presidents of the United States of America,Q5228652,Dave Dederer
Q818377,Gym Class Heroes,Q314107,Travie McCoy
Q587184,Kix,Q57180888,Richard Madenfort
Q142636,Dixie Chicks,Q585575,Emily Robison
Q142636,Dixie Chicks,Q1373347,Martie Maguire
Q142636,Dixie Chicks,Q242605,Natalie Maines
Q821917,Hot Cross,Q4913453,Billy Werner
Q822802,Mr. Big,Q2288800,Pat Torpey
Q822462,Born Against,Q7407894,Sam McPheeters
Q822001,The Legion of Doom,Q5066168,Chad Blinman
Q822802,Mr. Big,Q946019,Eric Martin
Q390684,Trivium,Q375040,Matt Heafy
Q390300,Agalloch,Q6238253,John Haughm
Q390380,Unwound,Q6318214,Justin Trosper
Q390684,Trivium,Q720175,Travis Smith
Q390684,Trivium,Q460445,Corey Beaulieu
Q593305,Former Ladies of the Supremes,Q2440578,Scherrie Payne
Q597972,The Fire Theft,Q2534130,Jeremy Enigk
Q593305,Former Ladies of the Supremes,Q2185544,Jean Terrell
Q593809,Assemblage 23,Q2440093,Tom Shear
Q603343,We Are the Fallen,Q292301,Carly Smithson
Q594559,Skin Yard,Q2319863,Gruntruck
Q81509,Minor Threat,Q455545,Ian MacKaye
Q158462,Lynyrd Skynyrd,Q463185,Allen Collins
Q136591,ZZ Top,Q369898,Billy Gibbons
Q158462,Lynyrd Skynyrd,Q445448,Gary Rossington
Q384023,Cinderella,Q1131159,Jeff LaBar
Q384023,Cinderella,Q1093244,Eric Brittingham
Q383398,The Main Ingredient,Q705748,Cuba Gooding Sr.
Q384023,Cinderella,Q2567490,Tom Keifer
Q384023,Cinderella,Q3752614,Fred Coury
Q734302,Madina Lake,Q3336741,Nathan Leone
Q735091,Six Feet Under,Q437476,Chris Barnes
Q574919,Slaughterhouse,Q253695,Crooked I
Q574663,Anti-Flag,Q377813,Justin Sane
Q573017,Swans,Q5213186,Dan Braun
Q573067,The Gaslight Anthem,Q2503485,Brian Fallon
Q43267,The Jackson 5,Q336222,Tito Jackson
Q134541,The Black Eyed Peas,Q293590,apl.de.ap
Q134541,The Black Eyed Peas,Q2735792,Atban Klann
Q692668,Beirut,Q7149914,Paul Collins
Q692668,Beirut,Q3574495,Zach Condon
Q690543,Link 80,Q1110593,Nick Traina
Q690775,Maylene and the Sons of Disaster,Q5211424,Dallas Taylor
Q690904,At the Drive-In,Q707708,Cedric Bixler-Zavala
Q371372,Lard,Q334288,Jello Biafra
Q371938,Chicago,Q692632,Terry Kath
Q371129,Tribal Tech,Q708879,Scott Henderson
Q374593,Blaque,Q662274,Shamari Fears
Q830379,Modern Jazz Quartet,Q435665,Milt Jackson
Q830586,New York Dolls,Q505072,Johnny Thunders
Q733863,Fountains of Wayne,Q2824007,Adam Schlesinger
Q730859,Lars Frederiksen and the Bastards,Q956081,Lars Frederiksen
Q730951,Box Car Racer,Q4270,Tom DeLonge
Q729149,Blackfoot,Q2451563,Rickey Medlocke
Q392768,Agent Steel,Q3187650,Juan Garcia
Q392379,The Desert Rose Band,Q963411,John Jorgenson
Q392379,The Desert Rose Band,Q1607873,Herb Pedersen
Q694447,The Other Ones,Q888316,Bob Weir
Q696303,Koinonia,Q706250,Alex Acuña
Q694397,Burning Brides,Q5277480,Dimitri Coats
Q696078,Stefy,Q4679700,Adam Ross
Q699534,Arrested Development,Q7575368,Speech
Q693583,As I Lay Dying,Q2609795,Tim Lambesis
Q738782,The Great Society,Q5222291,Darby Slick
Q736089,CKY,Q710415,Chad I Ginsburg
Q738929,The Braxtons,Q437375,Tamar Estine Braxton
Q738929,The Braxtons,Q18326138,Traci Braxton
Q842639,Jon Oliva's Pain,Q918492,Jon Oliva
Q845515,Transatlantic,Q291077,Neal Morse
Q845515,Transatlantic,Q221468,Mike Portnoy
Q740623,White Zombie,Q298255,Rob Zombie
Q738929,The Braxtons,Q155412,Toni Braxton
Q795632,Bruce-Baker-Moore,Q185147,Gary Moore
Q795030,Brujeria,Q944494,Dino Cazares
Q389870,Lady Antebellum,Q305030,Hillary Scott
Q388721,MD.45,Q187165,Dave Mustaine
Q375364,No Use for a Name,Q6789240,Matt Riddle
Q391969,MGMT,Q2895453,Benjamin Goldwasser
Q391969,MGMT,Q1384264,Andrew VanWyngarden
Q388262,Burning Image,Q6212446,Joe Sparks
Q373992,Arcade,Q2265243,Stephen Pearcy
Q390300,Agalloch,Q16210908,Aesop Dekker
Q389689,Rilo Kiley,Q435968,Jenny Lewis
Q373954,Dawes,Q57194188,Taylor Goldsmith
Q388870,Kingfish,Q3299750,Matthew Kelly
Q798682,Bad English,Q1344651,John Waite
Q804352,Blaqk Audio,Q431496,Davey Havok
Q798626,Bad Astronaut,Q1349702,Joey Cape
Q804352,Blaqk Audio,Q338498,Jade Puget
Q805038,Balkan Beat Box,Q437090,Ori Kaplan
Q736088,Wild Orchid,Q180004,Fergie
Q735023,Blackmore's Night,Q192183,Ritchie Blackmore
Q838984,Fun,Q2760347,Nate Ruess
Q832141,Down,Q314535,Phil Anselmo
Q395414,Agoraphobic Nosebleed,Q526512,Scott Hull
Q834362,The Bellrays,Q6558143,Lisa Kekaula
Q403300,SMV,Q355512,Victor Wooten
Q392379,The Desert Rose Band,Q770668,Chris Hillman
Q733733,Asobi Seksu,Q8060618,Yuki Chikudate
Q732205,Oblivians,Q5605401,Greg Cartwright
Q732733,Asleep at the Wheel,Q6697980,Lucky Oceans
Q719963,As Tall as Lions,Q16733381,Dan Nigro
Q720369,Liquid Tension Experiment,Q221468,Mike Portnoy
Q705045,Arsis,Q6041948,Nick Cordle
Q726694,Neurotic Outsiders,Q540283,John Taylor
Q726694,Neurotic Outsiders,Q347986,Steve Jones
Q726694,Neurotic Outsiders,Q374962,Steve Stevens
Q795272,B3,Q7803382,Tim Cruz
Q787071,Autolux,Q5041029,Carla Azar
Q795279,B2K,Q5951268,Lil' Fizzle Pop
Q787160,The Bicycle Thief,Q2907665,Bob Forrest
Q786623,Grandaddy,Q3162970,Jason Lytle
Q387596,The Panic Channel,Q16205488,Steve Isaacs
Q782763,Real Estate,Q21872471,Martin Courtney
Q783699,Bastro,Q3018002,David Grubbs
Q803876,Biohazard,Q2579443,Evan Seinfeld
Q742178,Jets to Brazil,Q2905851,Blake Schwarzenbach
Q594374,Dressy Bessy,Q7681577,Tammy Ealom
Q593305,Former Ladies of the Supremes,Q3306144,Sundray Tucker
Q593305,Former Ladies of the Supremes,Q3436408,Cindy Birdsong
Q593305,Former Ladies of the Supremes,Q5496677,Freddi Poole
Q593305,Former Ladies of the Supremes,Q6297647,Joyce Vincent Wilson
Q609782,Mindless Self Indulgence,Q7611733,Steve Montano
Q608799,The Elected,Q4924487,Blake Sennett
Q607725,Drive-By Truckers,Q1933097,Mike Cooley
Q609782,Mindless Self Indulgence,Q3734748,Lindsey Way
Q609782,Mindless Self Indulgence,Q5960061,Jennifer Dunn
Q1332134,The Breeders,Q1282821,Kelley Deal
Q845759,Temple of the Dog,Q381797,Mike McCready
Q1332134,The Breeders,Q434464,Tanya Donelly
Q1332134,The Breeders,Q3185915,Josephine Wiggs
Q1332134,The Breeders,Q240509,Kim Deal
Q845759,Temple of the Dog,Q270935,Chris Cornell
Q845759,Temple of the Dog,Q221535,Eddie Vedder
Q720369,Liquid Tension Experiment,Q175102,Jordan Rudess
Q720369,Liquid Tension Experiment,Q211976,John Petrucci
Q720369,Liquid Tension Experiment,Q216986,Tony Levin
Q842156,Lagwagon,Q16212795,Joe Raposo
Q815610,Believer,Q56884608,Kurt Bachman
Q816079,Belly,Q5517087,Gail Greenwood
Q742626,Heaven & Hell,Q185151,Ronnie James Dio
Q806228,Band from TV,Q282778,David Anders
Q813658,"Beck, Bogert & Appice",Q192474,Jeff Beck
Q583344,Mercury Rev,Q3809917,Jonathan Donahue
Q581703,The Lawrence Arms,Q16217334,Neil Hennessy
Q580121,Charred Walls of the Damned,Q1077763,Richard Christy
Q580823,The Impressions,Q372820,Jerry Butler
Q578979,Slint,Q2924957,Brian McMahan
Q845759,Temple of the Dog,Q318587,Matt Cameron
Q726694,Neurotic Outsiders,Q73437,Billy Idol
Q726694,Neurotic Outsiders,Q251865,Duff McKagan
Q726694,Neurotic Outsiders,Q39672,Matt Sorum
Q1239214,The Postal Service,Q435968,Jenny Lewis
Q1236887,Alcatrazz,Q145633,Graham Bonnet
Q368459,Brides of Destruction,Q592483,Tracii Guns
Q370373,Madvillain,Q304675,MF DOOM
Q842156,Lagwagon,Q2779711,Ken Stringfellow
Q842156,Lagwagon,Q1349702,Joey Cape
Q842156,Lagwagon,Q1200349,Derrick Plourde
Q842156,Lagwagon,Q1141514,Dave Raun
Q842156,Lagwagon,Q3675559,Chris Rest
Q742626,Heaven & Hell,Q202733,Tony Iommi
Q742626,Heaven & Hell,Q310752,Geezer Butler
Q742626,Heaven & Hell,Q360498,Vinny Appice
Q159329,Fugees,Q202663,Wyclef Jean
Q830598,Savatage,Q918492,Jon Oliva
Q832086,Dave Matthews Band,Q380381,Dave Matthews
Q830761,Possessed,Q3905847,Jeff Becerra
Q842639,Jon Oliva's Pain,Q4909513,Bill Hudson
Q842639,Jon Oliva's Pain,Q3299502,Matt LaPorte
Q842639,Jon Oliva's Pain,Q2663808,John Zahner
Q608594,DYS,Q533404,Dave Smalley
Q608208,Antony and the Johnsons,Q1262889,Anohni
Q609782,Mindless Self Indulgence,Q19417,James Euringer
Q607920,The Walker Brothers,Q488603,Scott Walker
Q608848,Septic Death,Q1167649,Pushead
Q420880,They Might Be Giants,Q323653,John Flansburgh
Q420880,They Might Be Giants,Q932243,Danny Weinkauf
Q420023,Tony! Toni! Toné!,Q1337779,Raphael Saadiq
Q420880,They Might Be Giants,Q707352,John Linnell
Q806235,Band of Horses,Q4885339,Ben Bridwell
Q816079,Belly,Q434464,Tanya Donelly
Q813076,Beat Happening,Q942680,Calvin Johnson
Q813447,Beautiful Creatures,Q2270327,Bang Tango
Q1239214,The Postal Service,Q816502,Ben Gibbard
Q846373,The Temptations,Q1282863,Eddie Kendricks
Q846373,The Temptations,Q1189111,Dennis Edwards
Q816452,Vampire Weekend,Q5105793,Chris Baio
Q816452,Vampire Weekend,Q2914736,Ezra Koenig
Q816452,Vampire Weekend,Q5108288,Chris Tomson
Q816452,Vampire Weekend,Q2917080,Rostam Batmanglij
Q431355,Modest Mouse,Q580169,Isaac Brock
Q728559,Quicksand,Q2546219,Walter Schreifels
Q728170,Exodus,Q484030,Kirk Hammett
Q1433169,Thursday,Q4909396,Bill Henderson
Q1433621,The Contours,Q1189111,Dennis Edwards
Q1433621,The Contours,Q2579274,Joe Stubbs
Q331790,Interpol,Q3305819,Sam Fogarino
Q331016,Blue Öyster Cult,Q2658340,Buck Dharma
Q838984,Fun,Q151304,Jack Antonoff
Q331790,Interpol,Q1986211,Paul Banks
Q331790,Interpol,Q2091701,Daniel Kessler
Q332399,Traveling Wilburys,Q311655,Tom Petty
Q332399,Traveling Wilburys,Q188426,Roy Orbison
Q1327973,The Mighty Mighty Bosstones,Q5107855,Chris Rhodes
Q1327973,The Mighty Mighty Bosstones,Q6210047,Joe Gittleman
Q1327973,The Mighty Mighty Bosstones,Q5273833,Dicky Barrett
Q1326522,Martha and the Vandellas,Q25652,Martha Reeves
Q1326880,Skarhead,Q5220279,Danny Diablo
Q753827,Ataxia,Q219638,Josh Klinghoffer
Q753827,Ataxia,Q188980,John Frusciante
Q846016,Hieroglyphics,Q608452,Del the Funky Homosapien
Q747812,The Frustrators,Q6162200,Jason Chandler
Q743143,Saviour Machine,Q3032102,Eric Clayton
Q744809,The Like,Q5362238,"Elizabeth ""Z"" Berg"
Q748499,Ui,Q7425084,Sasha Frere-Jones
Q744604,Assorted Jelly Beans,Q7325606,Richard Falomir
Q846373,The Temptations,Q538284,Otis Williams
Q339088,Canned Heat,Q6184707,Dale Spalding
Q338133,Siege,Q1341766,Seth Putnam
Q338133,Siege,Q21151329,Kevin Mahoney
Q846373,The Temptations,Q1176417,David Ruffin
Q392841,Agents of Oblivion,Q4394418,Dax Riggs
Q619305,Sugar Babydoll,Q222071,Courtney Love
Q619324,Apollonia 6,Q619328,Apollonia Kotero
Q616239,Scandal,Q444096,Patty Smyth
Q832250,Elf,Q185151,Ronnie James Dio
Q837300,The Pretty Reckless,Q193509,Taylor Momsen
Q162586,Dream Theater,Q211976,John Petrucci
Q162586,Dream Theater,Q221468,Mike Portnoy
Q846373,The Temptations,Q11042191,Terry Weeks
Q749502,Five Finger Death Punch,Q853692,Zoltan Bathory
Q749502,Five Finger Death Punch,Q918157,Ivan L. Moody
Q846373,The Temptations,Q2102371,Richard Street
Q846373,The Temptations,Q7364498,Ron Tyson
Q1346522,Nazz,Q364875,Todd Rundgren
Q1346570,The Funk Brothers,Q189758,Marvin Gaye
Q824864,The Newbeats,Q6490493,Larry Henley
Q830316,MC5,Q1339675,Wayne Kramer
Q747512,The Moldy Peaches,Q272382,Kimya Dawson
Q829138,TV on the Radio,Q3378697,Gerard Smith
Q845759,Temple of the Dog,Q366775,Jeff Ament
Q845759,Temple of the Dog,Q366777,Stone Gossard
Q446422,Maze,Q957010,Frankie Beverly
Q430224,Buckcherry,Q1997691,Josh Todd
Q455060,Far,Q1644952,Jonah Matranga
Q430638,Purple Ribbon All-Stars,Q958708,Bubba Sparxxx
Q449083,Company Flow,Q1275039,El-P
Q334093,Neurosis,Q1157200,Scott Kelly
Q334537,Obituary,Q619281,Terry Butler
Q334537,Obituary,Q1240418,Donald Tardy
Q334537,Obituary,Q2468212,John Tardy
Q406379,Norma Jean,Q5216934,Daniel Davison
Q405269,Cattle Decapitation,Q16611369,Travis Ryan
Q158611,+44,Q4271,Mark Hoppus
